name,marker-color,marker-size,marker-symbol,id,feature-type,notes,geology,lon,lat
Kingston Russell stone circle,#000000,,,1,Stone circle,,Sarsen,-2.59915,50.6885
Kingston Russell stone circle,#000000,,,2,Stone circle,,Sarsen,-2.59914,50.68846
Kingston Russell stone circle,#000000,,,3,Stone circle,,Sarsen,-2.59909,50.68845
Kingston Russell stone circle,#000000,,,4,Stone circle,,Sarsen,-2.59904,50.68841
Kingston Russell stone circle,#000000,,,5,Stone circle,,Sarsen,-2.599,50.68841
Kingston Russell stone circle,#000000,,,6,Stone circle,,Sarsen,-2.59893,50.68842
Kingston Russell stone circle,#000000,,,7,Stone circle,,Sarsen,-2.59888,50.68843
Kingston Russell stone circle,#000000,,,8,Stone circle,,Sarsen,-2.59883,50.68844
Kingston Russell stone circle,#000000,,,9,Stone circle,,Sarsen,-2.59878,50.68848
Kingston Russell stone circle,#000000,,,10,Stone circle,,Sarsen,-2.5988,50.68849
Kingston Russell stone circle,#000000,,,11,Stone circle,,Sarsen,-2.59876,50.68851
Kingston Russell stone circle,#000000,,,12,Stone circle,,Sarsen,-2.5988,50.68854
Kingston Russell stone circle,#000000,,,13,Stone circle,,Sarsen,-2.5988,50.68858
Kingston Russell stone circle,#000000,,,14,Stone circle,,Sarsen,-2.59881,50.68862
Kingston Russell stone circle,#000000,,,15,Stone circle,,Sarsen,-2.59889,50.68865
Kingston Russell stone circle,#000000,,,16,Stone circle,,Sarsen,-2.599,50.68865
Kingston Russell stone circle,#000000,,,17,Stone circle,,Sarsen,-2.59911,50.6886
Tenants Hill,#000000,,,18,Stone,,Sarsen,-2.59872,50.68805
Tenants Hill,#000000,,,19,Stone,,Sarsen,-2.59867,50.68802
Tenants Hill,#000000,,,20,Stone,,Sarsen,-2.59834,50.68792
Punknowle,#000000,,,21,Stone,,Unknown,-2.65358,50.69673
The Grey Mare and Her Colts,#000000,,,22,Cromlech,Chambered Long Barrow,Sarsen,-2.59022,50.68175
The Grey Mare and Her Colts,#000000,,,23,Cromlech,Chambered Long Barrow,Sarsen,-2.59024,50.68171
The Grey Mare and Her Colts,#000000,,,24,Cromlech,Chambered Long Barrow,Sarsen,-2.59028,50.68172
The Grey Mare and Her Colts,#000000,,,25,Cromlech,Chambered Long Barrow,Sarsen,-2.59027,50.68168
The Grey Mare and Her Colts,#000000,,,26,Cromlech,Chambered Long Barrow,Sarsen,-2.59031,50.68171
Gorwell Entrance,#000000,,,27,Stone,,Sarsen,-2.58398,50.67886
Portesham Hill,#000000,,,28,Stone,,Sarsen,-2.56059,50.67623
Portesham Hill,#000000,,,29,Stone,,Sarsen,-2.56,50.67619
Portesham Hill,#000000,,,30,Stone,,Sarsen,-2.55991,50.67622
Portesham Hill,#000000,,,31,Stone,,Sarsen,-2.56003,50.67638
